P90HTg-3000,"Xtreme Power P90HTg Series 3000VA/2400W;  208/240VAC Online UPS for harsh temperature environments; Operating temperatures up to 122 deg F (derates above 104F); 12 year battery service life at 25 deg C;  includes one P90-BP72HT external battery providing 9 minutes runtime at full load; 6A charger;  L6-20P line cord (8 ft); IEC-C19 + (6) IEC-C13 output receptacles; Tower/Rack mounting; Up to 98% ECO mode and 90% online efficiency; Smart LCD screen; RS-232 and USB port connections; UPS is  RoHS Approved, TAA  Compliant;  3 year electronics and battery warranty (USA and Canada); 17.2"" x 25.8"" x 7.0""; 146.2 lbs.  Additional P90-BP72HT battery packs can be added to increase runtime.","$4,258.00 ",,
P90-BP36HT,"Extended Runtime Battery Pack for use with P90HT-1500 (includes 6 each 12V7.2AH harsh temperature  batteries); __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower or Rack Mounting; TUV/UL,  RoHS, cUL Approved; TAA  Compliant;  3 year battery warranty (USA and Canada); 17.2""W x 18.9""D x 3.5""H; 55.2 lbs","$1,329.00 ",,
P90-BP48HT,"Extended Runtime Battery Pack for use with P90HT-2000 UPSs;  (includes 8 each 12V7.2AH harsh temperature batteries); __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower or Rack Mounting; TUV/UL, RoHS, cUL Approved; TAA  Compliant;  3 year battery warranty (USA and Canada); 17.2""W x 18.9""D x 3.5""H; 70.9 lbs","$1,619.00 ",,
P90-BP72HT,"Extended Runtime Battery Pack for use with P90HT-3000 and P90HTg-3000 UPSs;  (includes 12 each 12V7.2AH harsh temperature batteries) ;__ Battery Packs provide(s) __ minutes runtime @ __KVA load.   Tower or Rack Mounting; TUV/UL,  RoHS, cUL Approved; TAA  Compliant;  3 year battery warranty (USA and Canada); 17.2""W x 23.6""D x 3.5""H; 99.2 lbs","$2,179.00 ",,
P90-RAIL,"4-Post Rail Kit for use with P90-1000, 1500, 2000, 3000 and P90G-3000;   3.8""W x 19.8""D x 2.8""H. 5 lbs.",$125.00 ,,
XPC-2PRAIL,"2-Post Rail Kit for P80, P90, P90L and NXRT 800VA thru 5kVA  UPS or EBM;  rated for 125 lbs;  4""W x 20""D x 3""H. 5 lbs.",$102.00 ,,
XPC-2POSTL,"2-Post Shelf Kit for P90L-1500/2000/3000 and P90-BP36/48/72;   21/5""W x 23.3""D x 3.5""H. 9 lbs",$160.00 ,,
SNMP-2PV3,"Internal SNMP/WEB Card for use with P80 or  P90 Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPv2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$339.00 ,,
SNMP-EMPv2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$210.00 ,,
SNMP-3PEX,"External 3-Port SNMP/WEB Card for use with P90HT Series UPS - required when using SNMP-EMP; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. packaging = 12""W x 8""D x 2.5""H, 2lbs",$399.00 ,,
SNMP-EMP,"Environmental Monitoring Sensor to monitor temperature and humidity in the room -  used with the SNMP-3PEX Card; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3lbs",$290.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3lbs",$120.00 ,,
MODBUS-IN,"MODBUS CARD for use with the P90HT Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
XAT-400,"400VA Step Down Transformer, 208V to 120V for P90HTg-3000. Input is 208V IEC C14 on 2ft cord; output is 120V 5-15R on 2ft cord. 7""W x 6.8""D x 5.9""H. 8 lbs.",$499.00 ,,
XBDM-1015LV,"Xtreme Power XBDM Series 15 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of BDM + (4) 5-15R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads;3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5lbs",$330.00 ,,
XBDM-1020LV,"Xtreme Power XBDM Series 20 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-20P plug; (6) 5-20R output receptacles on front of BDM + (4) 5-20R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5lbs",$369.00 ,,
XBDM-1030LV,"Xtreme Power XBDM Series 30 Amp Maintenance Bypass Distribution Module with 6' Input line cord with L5-30P plug; (5) 5-20R output receptacles on front of BDM (Load Group 1) + (5) 5-20R output receptacles on rear of BDM (Load Group 2);  (2) bypass switches allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5lbs",$579.00 ,,
XBDM1020HV2,"Xtreme Power XBDM Series Maintenance Bypass Distribution Module with C20 inlet for customer supplied power cord;  rated at 16A; (2) IEC C19 and (4) IEC C13 output receptacles on front + (4) IEC C13 output receptacles on back;  Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; Includes (2) IEC C20 to C19 cord kits for connecting the XBDM to the P90G-3000 or P90LG-3000 UPS; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5lbs",$345.00 ,,
XPD1415HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of PDU + (8) 5-15R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 3.5lbs",$122.00 ,,
XPD1420HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with L5-20P plug (L5-20 to 5-20 adapter included); (6) 5-20R output receptacles on front of PDU + (8) 5-20R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 4.8lbs",$160.00 ,,
XPDU-IEC,"Xtreme Power XPDU Series Basic Power 230V PDU with C20 inlet (power cord ordered separately), (10) IEC C13 + (2) IEC C19 output receptacles; 1U Rackmount configuration; CE Listed; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 2.6lbs",$170.00 ,,
XPC-ZLC20-620R,"P90HTg-3000 Output Cord, Locking  IEC C20 to 6-15/20R. 3 lbs. ",$59.00 ,,
XPC-ZLC20-L620R,"P90HTg-3000 Output Cord, Locking IEC C20 to L6-20R. 3 lbs. ",$59.00 ,,
XPC-ZLC20-L630R,"P90HTg-3000 Output Cord, Locking IEC C20 to L6-30R. 3 lbs. ",$59.00 ,,
XPC-C14-615R,"P90HTg-3000 Output Cord, IEC C14 to 6-15R. 3 lbs. ",$45.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
T91-700,"Xtreme Power T91 Series 700VA/700W Online UPS, 120VAC; 6' Input line cord with 5-15P plug;  (6) 5-15R output receptacles; Full Load Runtime = 6 minutes; ECO Mode;  2A to 8A charger current adjustable by LCD;  Tower; RS232/USB Port; Emergency Power Off (EPO); Includes USB Cable and ViewPower Software; UL/cUL/FCC/RoHS Approved; TAA  Compliant;  3-Year Electronics, 3-Year Battery Warranty (USA and Canada only); 5.6""W x 15.6""D x 8.6""H, 25.7 lbs; ",$769.00 ,,
T91-1000,"Xtreme Power T91 Series 1000VA/1000W Online UPS, 120VAC; 6' Input line cord with 5-15P plug;  (6) 5-15R output receptacles; Full Load Runtime = 7 minutes; ECO Mode;  2A to 8A charger current adjustable by LCD;  Tower; RS232/USB Port; Emergency Power Off (EPO); Includes Communications Cable and ViewPower Software; UL/cUL/FCC/RoHS Approved; TAA  Compliant;  3-Year Electronics, 3-Year Battery Warranty (USA and Canada only); 5.6""W x 15.6""D x 8.6""H, 30 lbs; ",$949.00 ,,
T91-1500,"Xtreme Power T91 Series 1500VA/1450W Online UPS, 120VAC; 6' Input line cord with 5-15P plug;  (6) 5-15R output receptacles; Full Load Runtime = 3 minutes; ECO Mode;  2A to 8A charger current adjustable by LCD;  Tower; RS232/USB Port; Emergency Power Off (EPO); Includes Communications Cable and ViewPower Software; UL/FCC/RoHS Approved; TAA  Compliant;   3-Year Electronics, 3-Year Battery Warranty (USA only); 5.6""W x 15.6""D x 8.6""H, 34.3 lbs; ","$1,149.00 ",,
T91-2000,"Xtreme Power T91 Series 2000VA/1930W Online UPS, 120VAC; 6' Input line cord, L5-20P;  (1) L5-20R and  (8) 5-20R output receptacles; Full Load Runtime = 7 minutes; ECO Mode;  2A to 8A charger current adjustable by LCD;  Tower; RS232/USB Port; Emergency Power Off (EPO); Includes Communications Cable and ViewPower Software; UL/cUL/FCC/RoHS Approved; TAA  Compliant;  3-Year Electronics, 3-Year Battery Warranty (USA and Canada only); 7.4""W x 16.5""D x 12.5""H, 63 lbs; ","$1,539.00 ",,
T91-2000V2,"Xtreme Power T91 Series 2000VA/1930W Online UPS, 120VAC; 6' Input line cord, 5-20P;  (1) L5-20R and  (8) 5-20R output receptacles; Full Load Runtime = 7 minutes; ECO Mode;  2A to 8A charger current adjustable by LCD;  Tower; RS232/USB Port; Emergency Power Off (EPO); Includes Communications Cable and ViewPower Software; UL/cUL/FCC/RoHS Approved; TAA  Compliant;  3-Year Electronics, 3-Year Battery Warranty (USA and Canada only); 7.4""W x 16.5""D x 12.5""H, 63 lbs; ","$1,539.00 ",,
T91i-2000,"Xtreme Power T91i Series 2000VA/2000W Online UPS, 208-240VAC; IEC-C20 Inlet;  (1) IEC-C19 and (8) IEC-C13 output receptacles; Full Load Runtime = 6 minutes; ECO Mode; 2A to 8A charger current adjustable by LCD; Tower; RS232/USB Port; Emergency Power Off (EPO);  Includes USB Cable and ViewPower Software; CE, RoHS Approved; TAA  Compliant;  3-Year Electronics, 3-Year Battery Warranty (USA and Canada only);  7.4""W x 16.5""D x 12.5""H (190mmW x 421mmD x 318mmH) , 62 lbs; ","$1,629.00 ",,
T91-3000,"Xtreme Power T91 Series 3000VA/2880W Online UPS, 208- 240VAC; 8' Input line cord C19 to L6-20P; (1) C19 and  (8) C13 output receptacles; Full Load Runtime = 3 minutes; ECO Mode;  2A to 8A charger current adjustable by LCD;  Tower; RS232/USB Port; Emergency Power Off (EPO); Includes Communications Cable and ViewPower Software; UL/FCC/RoHS Approved; TAA  Compliant;  3-Year Electronics, 3-Year Battery Warranty (USA and Canada only); 7.4""W x 16.5""D x 12.5""H, 66 lbs; ","$1,979.00 ",,
T91i-3000,"Xtreme Power T91i Series 3000VA/3000W Online UPS, 208/230VAC; IEC-C20 Inlet;  (1) IEC-C19 and (8) IEC-C13 output receptacles; Full Load Runtime = 2 minutes; ECO Mode; 2A to 8A charger current adjustable by LCD; Tower; RS232/USB Port; Emergency Power Off (EPO);  Includes USB Cable and ViewPower Software; CE, RoHS Approved; TAA  Compliant;  3-Year Electronics, 3-Year Battery Warranty (USA and Canada only);  7.4""W x 16.5""D x 12.5""H (190mmW x 421mmD x 318mmH) , 62 lbs; ","$2,149.00 ",,
T91-BP36A,"Extended Runtime Battery Pack (2 strings) for use with T91-1000, and T91-1500 (maximum 7 BP per UPS);  __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower; UL/FCC/RoHS Approved; TAA  Compliant;  3-Year Battery Warranty (USA and Canada only); 5.6""W x 15.6""D x 8.6""H, 44 lbs",$699.00 ,,
T91-BP72A,"Extended Runtime Battery Pack (2 strings) for use with T91-2000, T91i-2000 and T91-3000 (maximum 7 BP per UPS);  __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower; UL/FCC/RoHS Approved; TAA  Compliant;  3-Year Battery Warranty (USA and Canada only); 7.4""W x 16.5""D x 12.5""H, 82 lbs","$1,259.00 ",,
SNMP-2PV3,"Internal SNMP/WEB Card for use with P80 or  P90 Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPV2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
MODBUS-IN,"MODBUS CARD for use with the P90 Series UPS; packaging = 7.25"" x 6"" x 2.5"", 1 lbs",$319.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
T90-WMB,"Wall mount bracket for use with T91-700 thru 1500 UPS. Compatible with any brick shaped UPS, between 4"" and 8"" wide.   Rated for 40 lbs.  4.0"" to 8.0 adjustable W x 7.0""D x 8.0""H. 5 lbs.  ",$219.00 ,,
XAT-400,"400VA Step Down Transformer, 208V to 120V for P90G and P90LG-3000. Input is 208V IEC C14 on 2ft cord; output is 120V 5-15R on 2ft cord. 7""W x 6.8""D x 5.9""H. 8 lbs.",$600.00 ,,
T915SP715,"Xtended 5YR Factory Warranty for T91 1000/1500VA UPS (USA only) - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$350.00 ,,
T915SP23,"Xtended 5YR Factory Warranty for T91 2000/3000VA UPS (USA only)  - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$575.00 ,,
T915SPBP,"Xtended 5YR Factory Warranty for T91-BP1 and T91BP2 Extended Battery Packs  (USA only)  - 5 Year Coverage includes coverage of battery pack, telephone technical support, advanced exchange and ground shipping both ways.",$320.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
P91-5KB,"Xtreme Power P91- 5KVA/5KW online double conversion UPS in 4U total rack/tower configuration; 208-240VAC input and output;  battery pack providing hot swappable battery trays and 7 minutes runtime at 5KW load; Terminal blocks for hardwired input and output; LCD display; intelligent slot for optional cards, RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 27.4""; Total Wt 163 lbs. 
Package Includes: 
P91-5k UPS Power Module (2U),
BPXR2U240A   Battery Module (2U), 
Tower Stands, Software; 
(2) 4 Post Rail Kits","$4,658.00 ",,
P91-5KB1,"Xtreme Power P91- 5KVA/5KW online double conversion UPS in 4U total rack/tower configuration; 208-240VAC input and output; Bypass distribution module,   2U battery pack providing hot swappable battery trays and 7 minutes runtime at 5KW load; input 6ft L6-30P line cord ; output (2) L6-30R, and (2) L6-20R receptacles; LCD display; intelligent slot for optional cards, RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 32.4""; Total Wt 173 lbs. 
Package Includes: 
P91-5k UPS Power Module (2U),
BPXR3U240A   Battery Module (3U), 
XBDM-P91A Bypass PDU (0U)
Tower Stands, Software; 
(2) 4 Post Rail Kits","$5,546.00 ",,
P91-5KB2,"Xtreme Power P91- 5KVA/5KW online double conversion UPS in 5U total rack/tower configuration; 208-240VAC input and output;  battery pack providing hot swappable battery trays and 15 minutes runtime at 5KW load; Terminal blocks for hardwired input and output; LCD display; intelligent slot for optional cards, RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 27.4""; Total Wt 203 lbs. 
Package Includes: 
P91-5k UPS Power Module (2U),
BPXR3U240A   Battery Module (3U), 
Tower Stands, Software; 
(2) 4 Post Rail Kits","$5,078.00 ",,
P91-5KB3,"Xtreme Power P91- 5KVA/5KW online double conversion UPS in 5U total rack/tower configuration; 208-240VAC input and output; Bypass distribution module,   3U battery pack providing hot swappable battery trays and 15 minutes runtime at 5KW load; input 6ft L6-30P line cord ; output (2) L6-30R, and (2) L6-20R receptacles; LCD display; intelligent slot for optional cards, RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 32.4""; Total Wt 213 lbs. 
Package Includes: 
P91-5k UPS Power Module (2U),
BPXR3U240A   Battery Module (3U), 
XBDM-P91A Bypass PDU (0U)
Tower Stands, Software; 
(2) 4 Post Rail Kits","$5,966.00 ",,
P91-6KB,"Xtreme Power P91- 6KVA/6KW online double conversion UPS in 4U total rack/tower configuration; 208-240VAC input and output;  battery pack providing hot swappable battery trays and 5 minutes runtime at 6KW load; Terminal blocks for hardwired input and output; LCD display; intelligent slot for optional cards; RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 27.4""; Total Wt 164 lbs. 
Package Includes: 
P91-6k UPS Power Module (2U),
BPXR2U240A   Battery Module (2U), 
Tower Stands, Software; 
(2) 4 Post Rail Kits","$5,048.00 ",,
P91-6KB1,"Xtreme Power P91- 6KVA/6KW online double conversion UPS in 4U total rack/tower configuration; 208-240VAC input and output; Bypass distribution module,   2U battery pack providing hot swappable battery trays and 5 minutes runtime at 6KW load; input 6ft L6-30P line cord ; output (2) L6-30R, and (2) L6-20R receptacles; LCD display; intelligent slot for optional cards; RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 32.4""; Total Wt 174 lbs. 
Package Includes: 
P91-6k UPS Power Module (2U),
BPXR2U240A   Battery Module (2U), 
XBDM-P91A Bypass PDU (0U)
Tower Stands, Software; 
(2) 4 Post Rail Kits","$5,936.00 ",,
P91-6KB2,"Xtreme Power P91- 6KVA/6KW online double conversion UPS in 5U total rack/tower configuration; 208-240VAC input and output;  battery pack providing hot swappable battery trays and 12 minutes runtime at 6KW load; Terminal blocks for hardwired input and output; LCD display; intelligent slot for optional cards; RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 27.4""; Total Wt 204 lbs. 
Package Includes: 
P91-6k UPS Power Module (2U),
BPXR3U240A   Battery Module (3U), 
Tower Stands, Software; 
(2) 4 Post Rail Kits","$5,468.00 ",,
P91-6KB3,"Xtreme Power P91- 6KVA/6KW online double conversion UPS in 5U total rack/tower configuration; 208-240VAC input and output; Bypass distribution module,   3U battery pack providing hot swappable battery trays and 12 minutes runtime at 6KW load; input 6ft L6-30P line cord ; output (2) L6-30R, and (2) L6-20R receptacles; LCD display; intelligent slot for optional cards; RS-232 and USB; Software; UL, cUL, FCC, RoHS; TAA  Compliant;  3 year UPS and battery warranty  (USA and Canada).   Max Rack Depth 32.4""; Total Wt 214 lbs. 
Package Includes: 
P91-6k UPS Power Module (2U),
BPXR3U240A   Battery Module (3U), 
XBDM-P91A Bypass PDU (0U)
Tower Stands, Software; 
(2) 4 Post Rail Kits","$6,356.00 ",,
